staff_id,department,years_experience,patient_satisfaction_score,task_completion_rate,response_time_minutes,overtime_hours,training_hours,performance_rating,salary
S0000,Physicians,10.634238180201322,8.315452232002563,0.7450874514637584,27.228393125606534,13,10,3.7102717101375795,70550.00296977109
S0001,Administration,8.059998629576313,9.376434350155746,0.965739456364603,7.297036088121496,12,15,4.567519271995149,57297.78790673671
S0002,Nursing,13.015729616969704,8.156885732761868,0.99766390712085,5.895669092797563,6,18,3.966593158489554,78455.733609497
S0003,Physicians,1.8908758936602883,9.198702393203568,0.7162006692649469,9.650523046378957,6,28,4.430407021769536,53106.53757275701
S0004,Nursing,0.10881451722839901,6.848120733736364,0.8485769121566451,5.489350757082175,8,17,4.104454293570341,45433.98498501887
S0005,Administration,8.342259065415663,8.967081279783999,0.798665648413975,7.82663489536044,13,19,3.314879409066822,61418.45227772279
S0006,Nursing,1.2614289308870545,10.613206579287455,0.8181039564793933,2.6596134208057878,13,18,3.1291171803466042,31977.757187775303
S0007,Support,3.1476332835810656,7.573508996597656,0.8354904257038925,3.4694549847071525,10,15,3.7323733024068075,104971.30645620749
S0008,Administration,8.500128527658571,9.933102775143965,0.9219111869353569,0.24068290134960216,11,20,4.865577645891697,87918.141871457
S0009,Physicians,1.2175934763889036,9.193941016390669,0.8773899109513529,1.647011180253638,6,28,4.059470041643106,53486.91181804056
S0010,Physicians,1.8691691880591856,9.374620944704539,0.9883603264650341,2.2944275994544396,9,17,4.604384135233742,62257.43467304717
S0011,Support,2.890884808834484,9.169565850461284,0.7998293797718602,4.910419871484519,13,25,4.151906141297663,93968.66729178831
S0012,Administration,1.5860683464530065,7.864759002216547,0.8624512247448228,3.1200769183609696,5,24,4.915810572546875,106827.445355944
S0013,Administration,3.0931810902578487,7.196525134320026,0.9439985592801091,4.680404642135051,13,12,3.738911124309202,77680.56217690159
S0014,Administration,0.04821494513489001,8.97448867151532,0.8119085250981041,6.247071262536377,9,19,3.114100910755946,68548.53395562261
S0015,Administration,1.1924788084054825,8.377206932872925,0.8395897601832728,0.21828978775901783,13,17,4.561336766611169,34154.483957926364
S0016,Nursing,8.935452718108827,7.107895203742886,0.905492365805568,1.4939021399903083,7,22,4.410913016662183,66964.07472853111
S0017,Administration,2.667759250440346,8.04608621708084,0.9582232655812919,0.9370958732605988,12,17,4.055068764476692,46547.16549699079
S0018,Nursing,5.058583898406259,7.446011998046302,0.8247044411271486,1.0379206418019176,6,25,3.6527824863806293,45812.32722082834
S0019,Nursing,1.321702609523254,10.417826491302655,0.859585141644022,3.4970879490717195,12,18,3.3765302953788785,105826.22940329665
S0020,Physicians,5.2473775578603385,9.341803106786722,0.9925366855872517,6.734960112258105,6,21,3.9645520883526286,72073.33306248958
S0021,Administration,52.761682021482564,7.522088849610062,0.7127407485841012,1.5926107755339807,7,19,4.332402818580974,78518.58908275655
S0022,Nursing,4.522893424673365,9.001469124016596,0.8344686149978633,8.699135182532453,12,21,4.157772858740386,85164.107039829
S0023,Administration,4.949128838039104,7.3415052451911045,0.8907945553387602,11.149300110579254,11,13,3.874981020743216,70547.49883836892
S0024,Support,0.5912147195886198,6.682017008833858,0.7025282372686376,2.1580229757401046,11,21,4.07938888865839,76695.56639960356
S0025,Nursing,2.5823867541997982,7.801598143728058,0.8790359504699243,5.718412391182422,13,13,3.215909860629197,75486.06452906583
