month,revenue,expenses,patient_volume,average_length_of_stay,readmission_rate,patient_satisfaction,staff_satisfaction,quality_score
2023-01-31,2396194.362737494,2161508.8657367886,1453,5.079794205953261,0.0948046114669153,8.840288995364789,7.459033123461821,95.99521322167193
2023-02-28,2126827.4470713683,1458216.253706537,1530,3.8046289461001983,0.06841536342075615,9.481202108945396,8.060207554178783,85.31052328478948
2023-03-31,1851728.6226449187,2088679.8357015846,1515,4.0761108431611355,0.11100690361975077,8.560233005518148,7.271321026011119,94.79160525624835
2023-04-30,2662273.5572984354,1696852.0534504408,1426,4.654592445697972,0.12247049468219717,9.028578832378695,8.594967934810118,92.45373299768978
2023-05-31,2666192.8240979705,2255813.838156273,1531,5.372803969156159,0.06472194834364517,8.93423130766472,8.360056502545321,94.05740255186792
2023-06-30,2272021.227475102,1933461.0379329587,1504,4.365696409736355,0.12571245725808014,8.956372563931174,8.541017809389832,90.36047883450385
2023-07-31,2308861.981761148,2111892.2636182457,1493,3.9745891233248676,0.12001616357954911,9.105469946803485,7.797756399594249,96.23773463659812
2023-08-31,2259672.152009087,2038273.6890078685,1490,5.033724802254506,0.06973428808276233,8.20866241997443,8.670006827709884,89.07093731381757
2023-09-30,2260266.8371595317,2238936.58867292,1457,4.279533637840876,0.11489476251179033,8.824466065997406,7.987096261474306,88.57441870758086
2023-10-31,2348683.6632129867,2368995.7379092034,1512,3.660402528751872,0.08936716793635226,8.763694505591635,7.1893980698404745,88.92275839472195
2023-11-30,2600828.141075661,2231878.7029207395,1556,4.8030604584538334,0.11811377524944297,8.513794683635812,7.448058497983698,95.0667299569536
2023-12-31,2818620.622330691,2123725.9726134413,1530,4.388888295976555,0.09960968522358542,8.654225399778854,8.422105603056439,91.43879250755926
2024-01-31,2492883.3833949394,1943244.6469960546,1516,4.378002500203994,0.0548137675234051,8.778218114976825,8.792844597617005,91.98210923610391
2024-02-29,2879906.4271313376,2097074.8029656524,1473,4.868530755612276,0.1286966988137793,8.48138347244804,7.190371184837217,95.81152043931512
2024-03-31,3211423.2138771014,2205717.1467048884,1480,4.913839203778581,0.10555999247190836,8.439738248027822,8.728429582194423,95.83375218011595
2024-04-30,2619829.912582264,1922795.8060450268,1503,4.124239180508468,0.12247946228587325,9.107408861999769,8.598139658356995,87.10259535938978
2024-05-31,2481531.7664712574,2013655.7480115448,1481,4.56117039670128,0.06260717748802586,8.100377214079614,7.713122119970171,92.14697974754812
2024-06-30,1802121.1395471613,1847510.2049924256,1512,3.7208528390036104,0.12212724726031006,8.469444617755673,8.378553608793313,86.63823668363945
2024-07-31,2681217.4018323687,2173388.135716878,1460,4.3714396738848675,0.09136661885164818,8.980566719200693,7.373902687603066,96.29087012553185
2024-08-31,2518745.4075255548,2100263.4240280082,1510,4.061226910292143,0.12992670440257234,8.313159452496564,8.626786599867891,95.881074127268
2024-09-30,2526268.2833097735,1745909.0233789408,1504,4.394849880221719,0.10991658753229867,8.858408952928373,8.314678043698022,96.04153515687472
2024-10-31,2433181.0676582255,2067581.2696997449,1503,4.2951746542421345,0.08549021252698003,8.453246212472823,7.87765875893413,94.16316050493957
2024-11-30,2369564.2213551467,1960907.1267366887,1445,4.409068671312621,0.07019169522472794,9.264951910025315,8.729034631093405,91.06940497855193
2024-12-31,2200294.2055341564,2025435.2457191425,1474,3.664289746663269,0.13159241686392426,8.524983998193703,7.278469002601803,90.26137594247913
